tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
0.020743,2.5825,2.5826,0.2,2.5686,0.24573,2.5679,0.24182,0.058588,0.045786,-0.0086687,-0.01
0.1264,2.5708,2.5739,0.19,2.5721,0.24972,2.5715,0.24583,0.057217,0.045817,0.0027946,0.005
0.14114,2.5843,2.5882,0.21,2.5743,0.25218,2.5737,0.24846,0.055355,0.044879,-0.016865,0.015
0.018892,2.5401,2.5402,0.22,2.5778,0.24629,2.5773,0.24143,0.054843,0.050514,-0.031298,-0.01
0.032404,2.5254,2.5256,0.19,2.5829,0.24294,2.5823,0.238,0.056294,0.050455,-0.021439,0.02
0.03117,2.4971,2.4973,0.26,2.5926,0.24472,2.5918,0.24,0.066401,0.049396,0.016131,0.04
-0.051134,2.5573,2.5578,0.27,2.5936,0.24139,2.5929,0.23647,0.064439,0.049993,0.031214,0.01
0.11165,2.5573,2.5597,0.28,2.5969,0.23976,2.5962,0.235,0.06407,0.0489,-0.016329,-0.01
0.046532,2.5247,2.5252,0.25,2.5999,0.23783,2.5992,0.23316,0.063586,0.048196,0.0070905,-0.015
0.1264,2.5708,2.5739,0.25,2.6032,0.23697,2.6025,0.2325,0.063683,0.047002,0.098966,0.045
0.055169,2.7225,2.7231,0.34,2.6081,0.23761,2.6073,0.23333,0.065793,0.045971,0.018468,0.02
0.021976,2.6108,2.6108,0.29,2.6131,0.23761,2.6122,0.23333,0.067759,0.045971,-0.061466,-0.03
-0.049284,2.5997,2.6002,0.28,2.6166,0.23841,2.6157,0.23429,0.067568,0.04523,0.0064951,-0.07
0.064979,2.623,2.6238,0.15,2.6221,0.24181,2.6213,0.23762,0.069902,0.045924,0.02612,-0.045
0.052084,2.6519,2.6524,0.19,2.6278,0.24225,2.6269,0.2381,0.067796,0.045784,0.055435,0.06
-0.050488,2.7342,2.7347,0.27,2.633,0.24263,2.6323,0.23857,0.063705,0.045308,-0.02136,-0.005
0.064362,2.6089,2.6097,0.18,2.6419,0.24074,2.6413,0.23667,0.056675,0.045203,-0.041144,-0.03
0.052084,2.6519,2.6524,0.21,2.6512,0.24428,2.6506,0.23952,0.058256,0.04914,0.02136,0.01
0.17924,2.6464,2.6524,0.2,2.6585,0.24178,2.658,0.23714,0.05598,0.048285,0.006919,0.005
0.06683,2.6654,2.6663,0.22,2.6665,0.23996,2.6661,0.23524,0.047458,0.048541,0.025033,0.025
0.03305,2.7023,2.7025,0.25,2.6752,0.24047,2.6748,0.23571,0.046562,0.048741,0.010451,-0.01
0.088948,2.6857,2.6872,0.2,2.6764,0.23372,2.676,0.23,0.048033,0.042544,-0.027741,-0.02
0.0023255,2.647,2.647,0.21,2.682,0.22878,2.6816,0.22524,0.046971,0.041063,0.0084952,0.04
-0.0093357,2.7041,2.7041,0.28,2.6907,0.2282,2.6903,0.22476,0.04804,0.04045,0.0061625,0.01
0.059457,2.6587,2.6593,0.23,2.6941,0.23286,2.6938,0.23,0.045564,0.037283,-0.033314,-0.04
0.10798,2.6353,2.6375,0.2,2.6955,0.23772,2.6951,0.23476,0.044695,0.038291,0.01386,-0.005
0.13133,2.6838,2.687,0.22,2.6998,0.24333,2.6993,0.23905,0.052182,0.046573,0.057586,0.065
0.014016,2.7527,2.7527,0.33,2.7079,0.24834,2.7074,0.24429,0.050772,0.045779,0.014197,0.005
0.090182,2.7139,2.7154,0.23,2.7131,0.25574,2.7126,0.25095,0.050434,0.050488,-0.028745,-0.06
0.039806,2.6949,2.6952,0.21,2.7198,0.26814,2.7193,0.26143,0.051376,0.061097,0.021212,0.015
0.14855,2.7539,2.7579,0.26,2.7221,0.27346,2.7217,0.26667,0.049937,0.062075,0.025663,0.005
-0.007485,2.7465,2.7465,0.22,2.7224,0.27691,2.722,0.27,0.049822,0.063008,-0.01405,-0.035
0.07667,2.7287,2.7298,0.19,2.7239,0.28705,2.7234,0.27952,0.049199,0.066894,0.018185,0.025
