tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-1.1502,-1.2167,1.6743,0.09,1.7658,0.075859,1.7652,0.068182,0.0488,0.034876,0.039229,0.01
-1.1864,-1.2364,1.7135,0.1,1.7744,0.077136,1.7737,0.07,0.055015,0.033845,0.034914,0.005
-1.2018,-1.264,1.7441,0.1,1.7771,0.08638,1.7764,0.076923,0.053577,0.040903,0.030997,0.01
-1.2104,-1.299,1.7755,0.12,1.777,0.094831,1.7763,0.083571,0.051475,0.04651,0.011562,-0.005
-1.1895,-1.307,1.7673,0.09,1.7747,0.10159,1.7741,0.089333,0.050349,0.050067,-0.0049843,-0.02
-1.203,-1.2923,1.7656,0.08,1.7722,0.1115,1.7715,0.096875,0.049719,0.057005,-0.0094864,-0.02
-1.168,-1.3009,1.7483,0.05,1.7708,0.11956,1.7702,0.10353,0.048441,0.061638,-0.002084,-0.03
-1.1551,-1.3297,1.7614,0.02,1.7693,0.11905,1.7687,0.10389,0.04744,0.059817,0.020913,-0.01
-1.184,-1.3426,1.7901,0.03,1.768,0.11812,1.7674,0.10368,0.046416,0.058139,0.029277,0.005
-1.2061,-1.3629,1.8199,0.03,1.7675,0.11773,1.767,0.104,0.045229,0.056606,0.033397,0.005
-1.2559,-1.3678,1.8569,0.04,1.7679,0.11834,1.7674,0.10524,0.044123,0.055463,0.023462,0.03
-1.2632,-1.3746,1.8669,0.09,1.7724,0.11914,1.772,0.10619,0.038629,0.05536,-0.023964,0.06
-1.2055,-1.3488,1.809,0.16,1.7756,0.11876,1.7752,0.10571,0.03625,0.055459,-0.04567,0.04
-1.2104,-1.299,1.7755,0.17,1.7744,0.11682,1.7741,0.1019,0.037657,0.058534,-0.033053,0.005
-1.2153,-1.2493,1.7429,0.17,1.7702,0.11393,1.7697,0.095238,0.042426,0.06408,-0.02132,0.02
