uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
-3.3763,2.2372,4.0503,-1.5022,3.6131,1.3026,3.3915,-1.2871,1.3068,0.20977,0.55686,0.43293,148,149,149,151,150,149
-3.8072,2.5944,4.6071,-1.0693,3.4807,1.2922,3.2202,-1.2775,1.3801,0.20277,0.22729,0.037911,148,149,149.25,151,150,149
-3.9623,2.1434,4.5048,-1.4264,3.4148,1.2998,3.1641,-1.286,1.3367,0.19652,-0.15816,-0.16673,148,149,149.5,151,150,149
-3.2006,2.8578,4.2908,-1.4027,3.3177,1.2905,3.0512,-1.2772,1.352,0.19162,0.09035,0.031164,148,149,149.75,151,150,149
-2.9486,3.6415,4.6855,-1.3641,3.2084,1.2688,2.8852,-1.2529,1.4528,0.20729,0.14736,0.097944,148,149,150,151,150,149
-3.5089,2.952,4.5855,-1.2068,3.1072,1.273,2.7203,-1.258,1.5508,0.20128,-0.8325,-0.0035453,148,149,149.75,151,150,149.25
-2.1561,2.1154,3.0205,-1.3711,3.019,1.291,2.6008,-1.2752,1.5803,0.20743,-1.1134,-0.2017,148,149,149.5,151,150,149.5
-1.1322,2.0692,2.3587,-1.6102,2.946,1.2909,2.5191,-1.276,1.5718,0.20126,-0.42593,0.083954,148,149,149.25,151,150,149.75
-1.2558,1.7681,2.1687,-1.2032,2.8908,1.2917,2.4707,-1.2776,1.542,0.19572,-0.23034,0.35352,148,149,149,151,150,150
-1.3519,1.3322,1.898,-0.9032,2.8322,1.3162,2.4112,-1.2996,1.5243,0.21426,-0.51625,0.05201,148,149,149,151,150,150
-0.3519,1.0803,1.1362,-1.0992,2.7739,1.3213,2.3478,-1.3053,1.5138,0.21046,-0.28108,-0.13422,148,149,149,151,150,150
0.74659,1.1077,1.3358,-1.1716,2.6707,1.3068,2.2571,-1.2912,1.4629,0.20646,0.67767,-0.14415,148,149,149,151,150,150
1.8868,1.6271,2.4915,-1.3875,2.496,1.3227,2.1094,-1.308,1.3672,0.20176,0.12342,0.0040063,148,149,149,151,150,150
0.70252,1.4182,1.5827,-1.1636,2.3192,1.3226,1.969,-1.3078,1.2558,0.20168,-0.96502,0.23755,148,149.25,149,151,149.75,150
-0.52146,0.20818,0.56148,-0.91243,2.1958,1.3032,1.888,-1.2863,1.1489,0.21478,-0.66801,-0.085201,148,149.5,149,151,149.5,150
-0.22911,-0.091334,0.24665,-1.334,2.0144,1.3012,1.7807,-1.2843,0.96506,0.21422,0.063927,-0.31918,148,149.75,149,151,149.25,150
-0.20932,0.65679,0.68933,-1.5508,1.8428,1.3126,1.6895,-1.2955,0.75416,0.2161,0.4419,0.022046,148,150,149,151,149,150
-1.0628,0.38517,1.1305,-1.2899,1.912,1.2916,1.7275,-1.271,0.83973,0.23551,0.45467,0.12222,148,150,149,151,149,150
-1.5244,-0.48164,1.5987,-1.3063,2.002,1.2769,1.7866,-1.2581,0.92573,0.22312,0.075245,-0.21315,148,150,149,151,149,150
-1.1148,-0.63086,1.2809,-1.7163,2.1291,1.2855,1.8722,-1.2668,1.0389,0.22438,-0.25922,-0.056436,148,150,149,151,149,150
-1.0276,-0.33324,1.0802,-1.4192,2.3397,1.2829,2.012,-1.2629,1.2237,0.23156,0.43193,0.25434,148,150,149,151,149,150
-2.1359,-0.1948,2.1448,-1.2076,2.4969,1.2955,2.1557,-1.276,1.291,0.22961,0.21288,-0.00082442,148,150,149,151,149,150
-1.5038,0.081875,1.506,-1.4209,2.6627,1.306,2.3037,-1.2867,1.3682,0.22973,-0.29447,-0.10796,148,150,149,151,149,150
-0.55189,1.4547,1.5559,-1.4235,2.7782,1.2969,2.3948,-1.2774,1.4431,0.22936,0.54189,0.2353,148,150,149,151,149,150
-2.03,1.6081,2.5898,-0.95026,2.8519,1.2931,2.479,-1.273,1.4448,0.23253,0.4388,0.050391,148,150,149,151,149,150
-1.9194,1.4958,2.4335,-1.3227,2.9074,1.3195,2.5785,-1.3015,1.3765,0.22253,0.039864,-0.24585,148,149.75,149,151,149.25,150
-0.93876,2.499,2.6695,-1.442,2.9545,1.3294,2.682,-1.3107,1.27,0.22788,0.69216,0.23361,148,149.5,149,151,149.5,150
-2.5089,2.8777,3.8178,-0.85549,3.0067,1.3158,2.7752,-1.2979,1.1855,0.22116,0.46551,0.050314,148,149.25,149,151,149.75,150
-1.9477,3.0283,3.6005,-1.3413,3.0502,1.3162,2.8457,-1.2984,1.1253,0.22115,0.073944,-0.26425,148,149,149,151,150,150
-0.98334,3.8418,3.9657,-1.384,3.0476,1.3451,2.8406,-1.323,1.1315,0.24902,0.6168,0.25977,148,149,149,151,150,150
-2.2615,4.2725,4.8341,-0.82179,3.0691,1.3313,2.8794,-1.3114,1.0885,0.23507,0.09396,0.0048394,148,149,149,151,150,150
-1.8548,3.7164,4.1536,-1.3743,3.0826,1.3371,2.9093,-1.3166,1.0442,0.23876,-0.19499,-0.28704,148,149,149,151,150,150
-0.81041,4.3696,4.4442,-1.3959,3.06,1.3379,2.8689,-1.3175,1.0907,0.23836,0.12591,0.090128,148,149,149,151,150,150
-1.2803,4.2153,4.4054,-1.1941,3.0446,1.3473,2.8232,-1.3259,1.168,0.24522,-0.54733,0.16244,147.75,149,149,151,149.75,150
-1.85,2.7922,3.3495,-1.071,3.0531,1.3599,2.8382,-1.3369,1.1528,0.25482,-0.87712,-0.15778,147.5,149,149,151,149.5,150
-1.3838,2.2614,2.6512,-1.5096,3.0009,1.3752,2.7281,-1.3553,1.2811,0.23896,-0.46437,-0.22816,147.25,149,149,151,149.25,150
-0.43162,2.382,2.4207,-1.5273,2.9536,1.3756,2.615,-1.3557,1.4071,0.23891,-0.0022768,0.11326,147,149,149,151,149,150
-2.064,1.6566,2.6466,-1.2831,2.904,1.3948,2.5362,-1.3722,1.4495,0.2565,0.094912,0.11356,147,149.25,149,151,149,149.75
-2.5341,0.62741,2.6106,-1.3002,2.8096,1.4091,2.4401,-1.3911,1.427,0.22973,-0.57778,-0.26976,147,149.5,149,151,149,149.5
-1.4477,0.35702,1.4911,-1.8226,2.7214,1.4169,2.3472,-1.3989,1.4112,0.23071,-0.25728,-0.086219,147,149.75,149,151,149,149.25
-2.0821,0.24109,2.096,-1.4727,2.6125,1.4303,2.2479,-1.4115,1.3642,0.23702,0.10902,0.14699,147,150,149,151,149,149
-1.696,0.21147,1.7091,-1.5286,2.4659,1.4423,2.1501,-1.4287,1.2372,0.20268,-0.40018,0.12311,147.25,150,149,151,149,149.25
-1.2339,-0.39513,1.2956,-1.2264,2.3546,1.4437,2.0689,-1.4301,1.1521,0.20238,-0.58127,-0.03446,147.5,150,149,151,149,149.5
0.22528,-0.49798,0.54657,-1.5976,2.2219,1.4443,1.9831,-1.4307,1.0267,0.2023,0.28793,-0.21411,147.75,150,149,151,149,149.75
1.8614,0.19432,1.8715,-1.6547,2.0735,1.4441,1.8902,-1.4305,0.87335,0.20261,-0.13478,0.13106,148,150,149,151,149,150
0.067975,0.26853,0.277,-1.3354,1.99,1.4702,1.827,-1.4584,0.80806,0.19062,-0.90695,0.1617,148,150,149,151,149,150
0.056814,0.0095141,0.057605,-1.3313,2.0178,1.4579,1.8466,-1.4452,0.83349,0.19634,0.36939,-0.22662,148,150,149,151,149,150
0.46768,0.90171,1.0158,-1.7887,2.0171,1.465,1.846,-1.4517,0.83311,0.2014,0.87126,0.03909,148,150,149,151,149,150
-0.64573,1.6803,1.8001,-1.2531,2.0745,1.4806,1.8845,-1.4676,0.88879,0.20058,0.31654,0.14226,148,150,149,151,149,150
