tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
1.1142,2.6622,2.8859,0.42,3.0155,0.29886,3.0124,0.27545,0.14387,0.1216,0.14468,-0.13
1.3292,2.7235,3.0306,0.29,2.9922,0.30158,2.9882,0.28,0.16074,0.11701,0.1024,0.01
1.054,2.9054,3.0907,0.44,2.9643,0.3007,2.9589,0.28077,0.18666,0.11206,0.054448,-0.125
1.105,2.9386,3.1395,0.04,2.9306,0.29927,2.9226,0.28071,0.22496,0.10767,0.043236,-0.12
1.0301,3.0056,3.1772,0.2,2.9052,0.29326,2.896,0.27467,0.2401,0.10636,0.012674,0.155
1.2592,2.9035,3.1648,0.35,2.8753,0.28675,2.8638,0.2675,0.26528,0.10668,-0.13067,0.06
1.046,2.7218,2.9158,0.32,2.8551,0.28281,2.843,0.26412,0.27076,0.10423,-0.095812,-0.115
1.3888,2.6289,2.9732,0.12,2.8311,0.27886,2.8176,0.26056,0.2839,0.10224,0.11282,-0.035
1.4453,2.7893,3.1415,0.25,2.8083,0.28001,2.7935,0.26263,0.29518,0.099769,-0.11259,0.115
1.495,2.3058,2.748,0.35,2.7836,0.28331,2.7671,0.2665,0.31077,0.098637,-0.13626,0
1.3353,2.5393,2.869,0.25,2.7587,0.28803,2.7402,0.27143,0.32701,0.098757,-0.012943,-0.01
1.0927,2.4932,2.7221,0.33,2.7318,0.2803,2.7116,0.26524,0.33956,0.092877,-0.13082,0.02
0.9483,2.4288,2.6073,0.29,2.7012,0.27804,2.6809,0.26286,0.33841,0.092852,-0.13571,-0.025
0.87149,2.2905,2.4507,0.28,2.6676,0.28199,2.6481,0.26524,0.33004,0.098113,-0.042231,-0.05
0.95135,2.3366,2.5229,0.19,2.6291,0.29506,2.611,0.28238,0.31551,0.087687,-0.034853,-0.06
0.93781,2.1886,2.381,0.16,2.5822,0.30278,2.5658,0.29048,0.29779,0.087549,-0.0060692,0.01
