uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
5.516,0.86241,5.583,-1.2261,5.8014,1.0986,5.7206,-1.078,1.012,0.22215,-1.2064,0.25619,151,152,152,148,147,146
4.3377,0.58246,4.3766,-0.96991,5.8887,1.1172,5.8084,-1.0969,1.0118,0.22165,-0.35509,0.053812,151,152.25,152.25,148,147,146
4.4514,1.9823,4.8728,-1.1185,5.9334,1.1476,5.8575,-1.1251,0.98474,0.23537,0.34663,-0.17065,151,152.5,152.5,148,147,146
4.5283,2.2799,5.0699,-1.3112,5.8767,1.1589,5.8021,-1.1374,0.96859,0.23078,-0.2399,-0.016681,151,152.75,152.75,148,147,146
3.2307,2.9768,4.393,-1.1518,5.8325,1.1828,5.7603,-1.1601,0.94729,0.23906,0.15993,-0.029179,151,153,153,148,147,146
3.7181,3.9019,5.3897,-1.3696,5.7457,1.2083,5.6649,-1.1838,0.99153,0.24974,0.77286,0.086342,151,152.75,153,148.25,147,146
3.5415,4.7673,5.9388,-0.97916,5.6775,1.2149,5.5932,-1.1916,1.0045,0.24396,0.42749,0.27505,151,152.5,153,148.5,147,146
3.0438,5.4527,6.2447,-0.81947,5.598,1.2247,5.5054,-1.2022,1.0432,0.24083,0.58155,0.18637,151,152.25,153,148.75,147,146
3.9566,5.8976,7.1019,-0.60641,5.5408,1.2101,5.4465,-1.1866,1.0459,0.24369,0.32959,-0.14694,151,152,153,149,147,146
3.6379,5.8676,6.9039,-1.1134,5.5336,1.2128,5.4439,-1.1905,1.0181,0.23782,-0.025007,-0.29313,151,152,153,149,147,146.25
3.8434,5.9124,7.0518,-1.1927,5.5182,1.2078,5.4323,-1.1863,0.99371,0.23258,-0.0645,-0.095416,151,152,153,149,147,146.5
4.4176,5.1365,6.7749,-1.3042,5.5224,1.196,5.4365,-1.1733,0.99455,0.23781,-0.30267,-0.13563,151,152,153,149,147,146.75
3.9471,5.0969,6.4465,-1.4639,5.6033,1.1909,5.5218,-1.1665,0.97573,0.24586,-0.84681,0.0033821,151,152,153,149,147,147
3.6197,3.5661,5.0813,-1.2974,5.7057,1.2038,5.6199,-1.1788,1.0102,0.24979,-0.63568,-0.0066254,151,152.25,153,149,147,147
4.5023,2.5519,5.1752,-1.4772,5.8086,1.2098,5.7171,-1.1842,1.052,0.25393,-0.42366,-0.12137,151,152.5,153,149,147,147
3.9349,1.563,4.234,-1.5402,5.9273,1.2216,5.8398,-1.1955,1.04,0.25767,-0.36443,0.080154,151,152.75,153,149,147,147
4.3669,0.83676,4.4463,-1.3169,5.9501,1.2094,5.8637,-1.1835,1.0349,0.25501,-0.11032,0.079695,151,153,153,149,147,147
3.8007,1.289,4.0133,-1.3808,6.0597,1.2335,5.9587,-1.2074,1.1293,0.25843,-0.030501,0.20527,151,153,153,149,147,147
3.9841,1.8324,4.3853,-0.90632,6.0764,1.2607,5.9744,-1.2374,1.1358,0.24744,0.69084,0.058346,151,153,153,149,147,147
4.5236,2.9398,5.395,-1.2641,6.0556,1.3078,5.9562,-1.2897,1.1198,0.2223,0.40791,-0.098416,151,153,153,149,147,147
4.2968,2.9307,5.2011,-1.1032,6.0139,1.3419,5.9175,-1.321,1.0992,0.24161,0.13761,0.15538,151,153,153,149,147,147
3.9773,4.0413,5.6702,-0.95333,5.9763,1.3453,5.8838,-1.3248,1.0733,0.24011,0.48312,0.13829,151,152.75,153,149,147,147
4.621,4.0844,6.1674,-0.82658,5.905,1.3808,5.8137,-1.3547,1.0602,0.27411,0.63178,-0.21199,151,152.5,153,149,147,147
4.7828,5.0201,6.9338,-1.3773,5.8273,1.3954,5.7322,-1.3673,1.0748,0.28527,0.47219,-0.29846,151,152.25,153,149,147,147
4.698,5.3391,7.1118,-1.4235,5.8014,1.4291,5.7004,-1.3969,1.1045,0.30893,0.01743,-0.0059458,151,152,153,149,147,147
4.3151,5.4719,6.9686,-1.3892,5.7386,1.4407,5.6159,-1.4074,1.2095,0.31544,-0.60949,0.15281,151,152,152.75,149,147.25,147.25
4.2465,4.0855,5.8928,-1.1179,5.6988,1.4289,5.552,-1.3954,1.3169,0.31491,0.48208,-0.046227,151,152,152.5,149,147.5,147.5
6.0638,5.1146,7.9328,-1.4817,5.6813,1.4354,5.5283,-1.4022,1.342,0.31466,0.34134,-0.16534,151,152,152.25,149,147.75,147.75
5.3505,3.8222,6.5754,-1.4486,5.6688,1.4439,5.5096,-1.4105,1.3666,0.31636,-0.60657,-0.11208,151,152,152,149,148,148
5.1208,4.3509,6.7196,-1.7058,5.6734,1.4666,5.5155,-1.4381,1.3618,0.29472,-0.24256,-0.16078,151,152,152,148.75,148,148
4.5532,4.0448,6.0903,-1.7701,5.6484,1.5033,5.4878,-1.4718,1.3703,0.31369,-0.18745,0.21668,151,152,152,148.5,148,148
4.8852,4.0485,6.3447,-1.2724,5.6644,1.5194,5.5047,-1.4905,1.3687,0.30211,-0.39405,-0.081014,151,152,152,148.25,148,148
3.404,4.0653,5.3022,-1.9321,5.6602,1.583,5.5004,-1.5521,1.3683,0.31858,-0.80506,-0.2283,151,152,152,148,148,148
3.6105,3.0628,4.7346,-1.729,5.6494,1.6081,5.4904,-1.5861,1.364,0.27198,-0.44419,0.0065264,151,152.25,152,148.25,147.75,148
2.756,3.4477,4.4139,-1.9191,5.5969,1.6295,5.4446,-1.6076,1.3288,0.27251,-0.66694,0.016067,151,152.5,152,148.5,147.5,148
1.6264,2.9866,3.4007,-1.6969,5.5282,1.6271,5.3858,-1.6049,1.2776,0.27472,-0.76107,0.31483,151,152.75,152,148.75,147.25,148
1.8212,2.2461,2.8917,-1.2894,5.4585,1.6482,5.3253,-1.6263,1.2281,0.27457,0.27435,0.11911,151,153,152,149,147,148
2.5317,3.0313,3.9494,-1.4587,5.4161,1.6604,5.283,-1.642,1.2228,0.25256,0.36459,-0.13274,151,153,152,149,147,148
2.1824,2.8893,3.6209,-1.5549,5.2628,1.6745,5.1597,-1.6564,1.0623,0.2516,0.27963,-0.014045,151,153,152,149,147,148
2.724,3.5928,4.5087,-1.4868,5.2027,1.6834,5.1075,-1.6661,1.0152,0.24707,0.59647,-0.20852,151,153,152,149,147,148
2.6645,4.0092,4.8138,-1.972,5.1608,1.6834,5.0733,-1.6661,0.9692,0.24707,0.52286,-0.0044267,151,153,152,149,147,148
