tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
0.39629,3.7269,3.7479,0.45,3.744,0.62659,3.7425,0.62,0.11104,0.095079,-0.16082,0.18
0.27647,3.5764,3.587,0.63,3.7465,0.62284,3.7451,0.61667,0.10624,0.091387,-0.081414,0.005
0.47366,3.5536,3.585,0.46,3.7418,0.61186,3.7405,0.60462,0.10306,0.097691,0.054185,-0.02
0.45033,3.6679,3.6954,0.59,3.7357,0.62021,3.7345,0.61286,0.10154,0.098795,0.044224,0.09
0.32256,3.6593,3.6735,0.64,3.7319,0.62155,3.7306,0.61467,0.098965,0.095459,-0.019834,0.07
0.16653,3.652,3.6557,0.73,3.7342,0.62083,3.733,0.61438,0.096086,0.092229,0.11142,0.035
0.20527,3.8909,3.8963,0.71,3.7325,0.6185,3.7314,0.61235,0.093271,0.089689,0.085402,0
0.2587,3.8178,3.8266,0.73,3.7326,0.6154,3.7316,0.60944,0.090489,0.087882,-0.055905,-0.03
0.27098,3.7748,3.7845,0.65,3.7308,0.62852,3.7298,0.62105,0.088267,0.099269,0.024829,-0.045
0.26792,3.8669,3.8762,0.64,3.7292,0.62397,3.7283,0.6165,0.086198,0.098743,0.02757,-0.03
0.14629,3.8369,3.8396,0.59,3.7325,0.6215,3.7316,0.61429,0.08535,0.096777,-0.051593,-0.03
0.341,3.7576,3.773,0.58,3.7328,0.62661,3.7319,0.62048,0.085433,0.089637,-0.077238,-0.065
0.25253,3.6765,3.6852,0.46,3.741,0.62567,3.7402,0.61952,0.078881,0.089637,-0.058363,0.07
0.22304,3.6495,3.6563,0.72,3.7481,0.63778,3.7474,0.63238,0.070459,0.084847,-0.0040545,0.09
0.18864,3.6722,3.6771,0.64,3.7483,0.64007,3.7477,0.63476,0.070258,0.084298,0.056295,-0.055
0.17146,3.765,3.7689,0.61,3.7525,0.63822,3.7519,0.63286,0.068209,0.084625,0.014304,-0.03
0.10511,3.7042,3.7057,0.58,3.7592,0.62999,3.7587,0.62476,0.065157,0.082983,-0.017199,-0.025
0.24763,3.7263,3.7345,0.56,3.751,0.61993,3.7506,0.61429,0.057274,0.085532,-0.0035858,0.125
0.11186,3.6968,3.6985,0.83,3.7529,0.61279,3.7524,0.60762,0.060372,0.081419,-0.017994,-0.015
0.21076,3.6925,3.6985,0.53,3.7648,0.61541,3.7639,0.61,0.084783,0.083427,0.049335,-0.13
0.15857,3.7939,3.7972,0.57,3.7679,0.6274,3.7669,0.62,0.089885,0.098438,0.028282,0.025
0.21323,3.749,3.7551,0.58,3.7772,0.63329,3.7758,0.62571,0.10532,0.10008,-0.017561,0.02
0.20647,3.7564,3.762,0.61,3.7828,0.64064,3.7813,0.63286,0.10818,0.10199,-0.009431,0.075
0.021567,3.7361,3.7362,0.73,3.7881,0.64526,3.7867,0.63857,0.10595,0.094936,-0.030449,0.015
0.012961,3.7011,3.7011,0.64,3.7895,0.64973,3.7881,0.64238,0.10426,0.099845,0.012923,-0.065
0.1217,3.7601,3.762,0.6,3.7871,0.65318,3.7856,0.64571,0.10764,0.10092,0.04809,-0.04
0.13031,3.7951,3.7973,0.56,3.7818,0.65502,3.7802,0.64762,0.11129,0.10059,-0.017633,-0.055
0.1131,3.7251,3.7268,0.49,3.7855,0.67138,3.7839,0.66238,0.10998,0.11225,0.033925,0.015
-0.015267,3.8651,3.8652,0.59,3.7765,0.68285,3.7746,0.67381,0.12193,0.11351,0.14945,0.105
0.30972,4.0137,4.0257,0.7,3.7815,0.67443,3.7797,0.66619,0.12081,0.10773,0.036859,0.13
0.22125,3.9327,3.9389,0.85,3.7827,0.67599,3.7809,0.6681,0.12008,0.10553,0.00024839,0.005
0.32385,4.0131,4.0262,0.71,3.7766,0.67722,3.7747,0.66952,0.12254,0.10433,-0.024853,-0.06
0.1979,3.8842,3.8892,0.73,3.7736,0.67848,3.7717,0.67095,0.12384,0.10324,-0.11435,-0.065
0.21508,3.7914,3.7975,0.58,3.7654,0.67891,3.7633,0.67143,0.13031,0.10297,-0.10109,0.035
0.30905,3.674,3.687,0.8,3.7524,0.68378,3.7497,0.67571,0.1471,0.10731,-0.086562,0.065
0.32746,3.6095,3.6244,0.71,3.7474,0.69231,3.7445,0.68381,0.15077,0.11084,-0.015669,-0.075
0.38521,3.6353,3.6557,0.65,3.7334,0.70353,3.73,0.69476,0.16311,0.11347,0.079597,0.09
0.22859,3.7766,3.7836,0.89,3.7214,0.73043,3.7178,0.71857,0.16735,0.13432,-0.058038,0.075
0.32376,3.5248,3.5396,0.8,3.7138,0.75171,3.7101,0.74048,0.17064,0.13268,0.010457,-0.11
