tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-3.2002,4.8394,5.8018,0.37,6.0171,0.44003,6.0151,0.42636,0.16465,0.11413,0.2333,0.2
-3.5743,4.8628,6.0351,0.57,6.0112,0.42953,6.0093,0.415,0.15826,0.11572,0.1114,0.085
-3.3777,4.9887,6.0246,0.54,6.0207,0.42332,6.0188,0.40923,0.15537,0.11273,-0.046842,-0.06
-3.4042,4.8695,5.9414,0.45,6.0156,0.41792,6.0139,0.40429,0.15041,0.10988,-0.07492,-0.055
-3.2837,4.8713,5.8748,0.43,6.0125,0.41612,6.0109,0.40333,0.1454,0.10594,-0.067932,-0.02
-3.2365,4.8197,5.8056,0.41,6.0113,0.41395,6.0097,0.40187,0.14055,0.10252,0.010921,-0.08
-3.4066,4.813,5.8966,0.27,6.0126,0.42166,6.0112,0.40941,0.13622,0.10401,0.19154,-0.075
-3.8145,4.8733,6.1886,0.26,6.0083,0.4171,6.0069,0.405,0.13342,0.10263,0.19127,0.095
-3.8679,4.9464,6.2791,0.46,6.0105,0.40763,6.0091,0.39211,0.13004,0.11448,-0.0052034,0.17
-3.7199,4.9329,6.1782,0.6,6.0065,0.39782,6.0052,0.377,0.12778,0.13031,-0.069558,-0.065
-4.1334,4.5404,6.14,0.33,6.0007,0.39446,5.9994,0.37429,0.12738,0.12762,-0.11627,-0.155
-3.8213,4.5551,5.9457,0.29,6.0052,0.38833,6.0041,0.36571,0.12142,0.13381,-0.0034873,0.005
-3.8397,4.7824,6.1331,0.34,5.9972,0.36914,5.996,0.34524,0.12488,0.13389,0.0020176,0.025
-3.7623,4.6091,5.9497,0.34,5.98,0.36219,5.9783,0.34,0.14526,0.12791,-0.081965,0.025
-3.7832,4.6171,5.9691,0.39,5.9635,0.35886,5.9612,0.33714,0.16898,0.12598,0.021169,0.02
-3.7599,4.6656,5.9921,0.38,5.9478,0.35292,5.9448,0.33143,0.19272,0.12427,0.032752,0.07
-3.7574,4.7222,6.0346,0.53,5.938,0.34317,5.9346,0.31952,0.2058,0.12828,-0.029345,-0.025
-3.8588,4.5072,5.9334,0.33,5.9225,0.34061,5.9186,0.29762,0.22142,0.16973,0.0077866,-0.185
-4.0505,4.4943,6.0502,0.16,5.8951,0.34217,5.8912,0.29952,0.2219,0.16951,-0.0013444,-0.12
-4.0726,4.3113,5.9307,0.09,5.859,0.32947,5.8552,0.28619,0.21708,0.16726,-0.083726,0.08
-3.8398,4.4568,5.8828,0.32,5.8252,0.30579,5.8212,0.26762,0.21976,0.15159,-0.015236,0.05
-4.0228,4.3162,5.9002,0.19,5.8043,0.29815,5.8007,0.25714,0.20831,0.15463,-0.0089209,-0.09
-4.1359,4.1583,5.8649,0.14,5.7888,0.29565,5.7852,0.25429,0.20909,0.15455,-0.12351,0.12
-3.677,4.294,5.6532,0.43,5.7613,0.29056,5.758,0.24905,0.19847,0.15336,-0.14116,0.125
-3.6445,4.2289,5.5826,0.39,5.7364,0.28845,5.7328,0.24714,0.20639,0.15242,-0.060946,-0.06
-3.6475,4.1582,5.5313,0.31,5.7099,0.28096,5.7062,0.24048,0.21039,0.14888,0.00371,-0.115
-3.7692,4.1281,5.59,0.16,5.69,0.27099,5.6866,0.23048,0.20142,0.14606,0.01439,-0.25
-3.7784,4.079,5.5601,-0.19,5.6619,0.25258,5.6588,0.21857,0.19094,0.1297,0.011777,0.07
-3.6426,4.2712,5.6136,0.3,5.631,0.24769,5.6277,0.21429,0.19709,0.1273,-0.018406,0.185
-3.5892,4.1981,5.5233,0.18,5.5941,0.24686,5.5911,0.21286,0.18576,0.12811,-0.074146,-0.045
-3.5118,4.1877,5.4653,0.21,5.5614,0.25579,5.5585,0.22381,0.18325,0.1269,0.093366,-0.035
-3.8576,4.2099,5.71,0.11,5.5239,0.25831,5.5206,0.22571,0.19481,0.12871,0.077475,0.01
-3.76,4.1773,5.6202,0.23,5.4995,0.27564,5.4969,0.23952,0.17568,0.13977,-0.074119,0.06
-3.8595,4.0047,5.5618,0.23,5.4888,0.30362,5.4866,0.26143,0.1586,0.15822,-0.10009,0.035
-3.647,4.0096,5.42,0.3,5.4845,0.29983,5.4824,0.25857,0.15507,0.15554,-0.075766,0.01
-3.6918,3.9549,5.4102,0.25,5.4804,0.30046,5.4784,0.25905,0.15342,0.15598,0.079999,-0.065
-3.755,4.1275,5.58,0.17,5.4807,0.30948,5.4787,0.26619,0.15353,0.16176,0.020916,0.015
-3.5714,4.1195,5.4521,0.28,5.4822,0.3215,5.4801,0.27905,0.15477,0.16361,-0.14998,0.035
-3.5892,3.8726,5.2801,0.24,5.4827,0.33173,5.4806,0.3081,0.15505,0.126,-0.085232,-0.075
-3.663,3.805,5.2816,0.13,5.4842,0.33971,5.482,0.31524,0.15648,0.12972,-0.017062,0.04
-3.7244,3.6944,5.246,0.32,5.4854,0.34331,5.4833,0.32048,0.15694,0.12615,-0.097475,0.115
-3.6237,3.5697,5.0866,0.36,5.4903,0.35126,5.4882,0.32952,0.15793,0.12464,0.077802,0.08
-3.744,3.8935,5.4016,0.48,5.4786,0.36335,5.4766,0.34524,0.14954,0.11609,0.28168,0.12
-3.8245,4.1589,5.65,0.6,5.4694,0.367,5.4675,0.35,0.14614,0.11314,0.0812,-0.055
-3.9111,3.9574,5.564,0.37,5.4642,0.3744,5.4624,0.35857,0.14455,0.11038,-0.075909,-0.1
-3.9302,3.845,5.4982,0.4,5.4587,0.37028,5.4567,0.3519,0.14853,0.11805,-0.01344,0.045
-3.9425,3.888,5.5371,0.46,5.4502,0.36666,5.4481,0.34381,0.15649,0.13056,0.061051,0.015
-4.0407,3.9064,5.6203,0.43,5.4314,0.36883,5.4291,0.34762,0.16371,0.12633,0.016651,-0.02
-4.007,3.8696,5.5704,0.42,5.4186,0.36848,5.416,0.34714,0.17254,0.12662,0.011807,0.01
-3.9652,4.0164,5.6439,0.45,5.4164,0.36662,5.4137,0.34381,0.17472,0.13044,-0.010225,-0.065
-4.0825,3.7596,5.5499,0.29,5.4087,0.36866,5.4057,0.3481,0.18464,0.1244,-0.038337,-0.025
-4.1483,3.7129,5.5672,0.4,5.4105,0.36866,5.4076,0.3481,0.18314,0.1244,-0.041102,0.075
-4.0807,3.6392,5.4677,0.44,5.4154,0.36463,5.4127,0.34333,0.17499,0.12583,-0.069138,-0.035
-4.0611,3.603,5.429,0.33,5.4102,0.35384,5.4074,0.33286,0.17704,0.12301,-0.0068854,-0.015
-3.9627,3.7473,5.454,0.41,5.3974,0.34501,5.3949,0.32714,0.16809,0.1123,-0.063593,-0.085
-3.921,3.5685,5.3018,0.16,5.3897,0.3395,5.3873,0.32095,0.16361,0.1134,-0.11296,-0.165
-3.7404,3.6527,5.228,0.08,5.3871,0.33259,5.3848,0.31381,0.16223,0.11289,-0.060303,0.045
-3.7435,3.582,5.1812,0.25,5.3847,0.32174,5.3824,0.30381,0.16022,0.10851,-0.025502,0.095
