uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
6.67,5.7529,8.8083,-0.19731,5.757,0.7388,5.247,-0.48508,2.4847,0.58444,-0.89872,0.15291,144,148,148,146,142,142
5.4702,5.713,7.9095,-0.044403,5.6047,0.75758,5.103,-0.52297,2.421,0.57249,-0.51674,0.23788,144,147.75,148,145.75,142,142
4.1755,6.5584,7.7748,0.27844,5.5287,0.84481,5.058,-0.60169,2.3236,0.61724,-0.27544,-0.064275,144,147.5,148,145.5,142,142
3.2393,6.6073,7.3587,-0.17295,5.4336,0.86972,4.9821,-0.64052,2.2504,0.61056,-0.81736,-0.16281,144,147.25,148,145.25,142,142
1.8163,5.8653,6.1401,-0.047184,5.3549,0.9284,4.9231,-0.69978,2.1806,0.63153,-0.98024,0.042499,144,147,148,145,142,142
0.86283,5.3288,5.3982,-0.087955,5.3077,0.94934,4.8993,-0.73236,2.1088,0.62388,-1.1431,-0.26219,144.25,147,148,144.75,142,141.75
-0.03569,3.8537,3.8539,-0.57156,5.2619,0.96691,4.8737,-0.76068,2.0445,0.61526,-1.1649,-0.26867,144.5,147,148,144.5,142,141.5
-0.66581,2.9954,3.0685,-0.6253,5.2033,0.96963,4.8297,-0.7748,1.9922,0.59988,-0.80886,-0.2157,144.75,147,148,144.25,142,141.25
-1.8072,1.317,2.2362,-1.0029,5.1476,0.97241,4.7868,-0.78777,1.9451,0.58571,-0.45496,-0.35516,145,147,148,144,142,141
-2.0404,0.70447,2.1585,-1.3356,5.1127,0.96238,4.7673,-0.7857,1.8952,0.57017,0.38688,-0.26309,145,147.25,148,144,141.75,141
-2.9733,0.46853,3.0099,-1.5291,5.086,0.94211,4.7555,-0.76447,1.848,0.56418,0.68036,0.19792,145,147.5,148,144,141.5,141
-3.4531,0.67926,3.5193,-0.93978,4.8006,0.94329,4.5399,-0.76904,1.5989,0.55974,0.75393,-0.008582,145,147.75,148,144,141.25,141
-4.5176,0.041334,4.5178,-1.5463,4.5628,0.97049,4.3525,-0.81676,1.4028,0.53713,0.23835,-0.10272,145,148,148,144,141,141
-3.9207,0.77195,3.996,-1.1452,4.3197,0.9849,4.1675,-0.86897,1.165,0.47505,-0.2106,0.0084378,144.75,148,148,144,140.75,141
-3.5508,2.043,4.0966,-1.5294,4.1148,1.0038,4.0182,-0.90383,0.90814,0.44748,0.27299,-0.037958,144.5,148,148,144,140.5,141
-3.7799,2.5182,4.5419,-1.2211,3.9473,1.0189,3.8714,-0.93977,0.78946,0.40337,0.184,0.15778,144.25,148,148,144,140.25,141
