uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
-5.9259,-1.6781,6.1589,-3.1713,9.5834,2.7035,9.3844,-2.6083,2.0374,0.74577,0.74838,-0.48764,145,153,151,155,147,148
-5.0977,-4.661,6.9073,-3.659,9.4352,2.687,9.2372,-2.5992,2.0084,0.71177,0.92376,-0.013292,145.5,153,151.25,154.5,147,148
-4.9748,-6.2733,8.0065,-3.1979,9.361,2.6239,9.1743,-2.5293,1.9362,0.72654,1.2586,0.14601,146,153,151.5,154,147,148
-5.4629,-7.6798,9.4246,-3.367,9.5207,2.5593,9.3329,-2.4545,1.9526,0.75201,1.2737,0.66109,146.5,153,151.75,153.5,147,148
-2.4775,-10.259,10.554,-1.8757,9.8206,2.4914,9.5993,-2.37,2.1459,0.79512,1.2224,0.64672,147,153,152,153,147,148
-5.1613,-10.688,11.869,-2.0735,10.348,2.4227,10.02,-2.278,2.6702,0.85185,-0.27536,-0.44619,147.75,153,152,152.5,147.25,148.25
0.080724,-10.003,10.003,-2.7681,11.073,2.354,10.564,-2.1123,3.4217,1.071,-0.46229,-0.29909,148.5,153,152,152,147.5,148.5
2.1434,-10.733,10.945,-2.6717,11.959,2.2917,11.206,-1.9631,4.2958,1.2167,1.3176,0.60802,149.25,153,152,151.5,147.75,148.75
1.6604,-12.529,12.638,-1.5521,12.869,2.2369,11.876,-1.8211,5.0929,1.3345,-1.2343,0.57845,150,153,152,151,148,149
4.874,-6.9347,8.4762,-1.5148,13.847,2.1833,12.593,-1.7041,5.9058,1.4004,-2.1965,-0.64426,150,153,151.75,151,148,149.25
5.9571,-5.7008,8.2454,-2.8406,14.859,2.1392,13.342,-1.5815,6.7017,1.476,-0.42908,-0.49173,150,153,151.5,151,148,149.5
7.2339,-2.3886,7.618,-2.4982,15.976,2.0409,14.363,-1.3734,7.1685,1.547,0.086872,0.57483,150,153,151.25,151,148,149.75
