tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-3.2983,5.6718,6.5611,0.48,6.543,0.33643,6.5417,0.32182,0.13938,0.10284,0.082245,-0.05
-3.2215,5.81,6.6434,0.43,6.5243,0.33073,6.5228,0.31667,0.14812,0.099666,0.10783,-0.01
-3.2872,5.9261,6.7768,0.46,6.5064,0.31922,6.5047,0.30077,0.15617,0.11131,-0.0013249,-0.09
-3.1927,5.8229,6.6407,0.25,6.491,0.31422,6.4892,0.29643,0.16084,0.10817,-0.091928,-0.1
-3.2314,5.7467,6.5929,0.26,6.4829,0.30489,6.4811,0.284,0.15812,0.11482,-0.006904,0.05
-3.3966,5.6902,6.6269,0.35,6.4618,0.29758,6.4596,0.27563,0.17538,0.11587,-0.043035,0.005
-3.2431,5.641,6.5068,0.27,6.4552,0.30779,6.4531,0.28529,0.17189,0.11906,-0.15008,-0.035
-3.2597,5.4224,6.3267,0.28,6.4509,0.31157,6.4489,0.29,0.16772,0.11722,0.013481,-0.05
-3.4888,5.5244,6.5338,0.17,6.4584,0.30864,6.4564,0.28789,0.16623,0.11429,0.049986,-0.03
-3.5601,5.3505,6.4267,0.22,6.4652,0.30223,6.4632,0.28,0.16469,0.11671,-0.10549,0.1
-3.4637,5.2897,6.3228,0.37,6.4714,0.29495,6.4695,0.26619,0.16306,0.13017,-0.055824,0.02
-3.3039,5.3818,6.3151,0.26,6.4678,0.27573,6.4659,0.24381,0.16177,0.13197,-0.017919,-0.13
-3.3709,5.3069,6.287,0.11,6.4549,0.25942,6.453,0.22524,0.15762,0.13189,-0.013568,-0.01
-3.3199,5.3401,6.2879,0.24,6.4393,0.23946,6.4378,0.20095,0.13916,0.13345,0.040474,0
-3.2793,5.4586,6.3679,0.11,6.4282,0.23382,6.427,0.18524,0.13121,0.14621,-0.075718,-0.045
-3.1897,5.2424,6.1365,0.15,6.424,0.22721,6.4228,0.17,0.127,0.15447,-0.0091842,0.165
-3.1786,5.4967,6.3496,0.44,6.4176,0.21409,6.4166,0.15476,0.11947,0.15158,0.12027,0.11
-3.1264,5.5581,6.377,0.37,6.421,0.20587,6.4199,0.14095,0.12304,0.15375,0.12077,-0.095
-3.0213,5.8579,6.5911,0.25,6.4407,0.19689,6.4393,0.12524,0.13867,0.15568,0.10834,-0.12
-3.0139,5.8646,6.5937,0.13,6.4502,0.19381,6.4485,0.11429,0.15111,0.16039,0.0018239,-0.13
-3.1878,5.7731,6.5947,-0.01,6.4573,0.19229,6.4555,0.094762,0.15347,0.17145,-0.054159,-0.06
-3.0846,5.7049,6.4854,0.01,6.4631,0.17562,6.4615,0.072857,0.15046,0.16374,-0.11053,0.025
-2.8874,5.6821,6.3737,0.04,6.4756,0.16825,6.4739,0.054762,0.14855,0.16302,-0.013814,-0.03
-2.9556,5.7417,6.4578,-0.05,6.4841,0.16666,6.4826,0.048095,0.14227,0.16351,0.019271,-0.06
-2.9144,5.7116,6.4122,-0.08,6.4967,0.16003,6.4954,0.041905,0.13579,0.15826,0.023925,-0.005
-2.8591,5.8437,6.5056,-0.06,6.51,0.15846,6.5086,0.038571,0.13632,0.15749,0.041792,0.055
-2.9175,5.8038,6.4958,0.03,6.5416,0.15518,6.5405,0.03,0.12249,0.15601,0.035605,0.02
-2.9279,5.8892,6.5768,-0.02,6.5655,0.12348,6.5642,0.0047619,0.13153,0.12644,0.11891,-0.04
-2.9635,6.0464,6.7336,-0.05,6.5899,0.097027,6.5884,-0.018571,0.14181,0.097585,0.075098,-0.02
-3.0796,5.9807,6.727,-0.06,6.6082,0.083751,6.6063,-0.035714,0.16398,0.077625,-0.079591,-0.07
-3.0004,5.8499,6.5744,-0.19,6.6223,0.084515,6.6201,-0.048571,0.17474,0.070872,-0.13947,-0.015
-2.8186,5.7995,6.4481,-0.09,6.6344,0.08674,6.632,-0.052381,0.18137,0.070845,0.0012014,0.035
-2.9279,5.8892,6.5768,-0.12,6.6487,0.087151,6.6464,-0.054762,0.18109,0.069471,0.010791,0.03
-2.8898,5.7884,6.4697,-0.03,6.6666,0.088909,6.6645,-0.060952,0.17124,0.066325,-0.010844,0.115
-2.9869,5.8351,6.5552,0.11,6.6891,0.088345,6.687,-0.057619,0.17363,0.068623,0.088353,0.035
-2.8738,5.993,6.6464,0.04,6.713,0.088345,6.711,-0.05,0.1685,0.074632,0.12525,-0.07
-2.8443,6.1828,6.8056,-0.03,6.7274,0.089549,6.7255,-0.042857,0.163,0.080569,0.10053,-0.065
-3.0808,6.1153,6.8475,-0.09,6.7481,0.091443,6.7463,-0.04,0.16005,0.084261,0.04016,-0.045
-3.1078,6.1447,6.886,-0.12,6.7647,0.092608,6.7629,-0.035714,0.15965,0.087554,0.059074,-0.01
-3.0894,6.243,6.9656,-0.11,6.7718,0.093223,6.7699,-0.03,0.16153,0.090443,-0.0010276,-0.01
-2.985,6.2031,6.8839,-0.14,6.777,0.093554,6.7752,-0.02381,0.16186,0.092708,-0.059991,0.01
-2.9579,6.1736,6.8456,-0.09,6.7892,0.083978,6.7875,-0.015714,0.15555,0.084532,-0.048855,0.05
